Training_Epoch	 Epoch_loss	 Epoch_Bleu	 Validation_loss	 Valid_Bleu
10	 7672.46923828	 0.0124212703471	 610.704971313	 0.0128940504927
20	 7015.71470642	 0.0174474567894	 558.294326782	 0.0177183111549
30	 6397.5088501	 0.0297880580622	 509.142097473	 0.0353638459929
40	 5832.78442383	 0.0535484712728	 464.290115356	 0.0537736070024
50	 5316.73087311	 0.0755446251791	 423.258232117	 0.074197958618
60	 4840.47978973	 0.0853437778592	 385.361495972	 0.085351631538
70	 4398.91546631	 0.0829654756007	 350.218635559	 0.0814483865785
80	 3989.26807404	 0.0930947655147	 317.572662354	 0.0934922857735
90	 3608.54036713	 0.100506172325	 287.237869263	 0.0987382825346
100	 3254.66075134	 0.104088801724	 259.062110901	 0.102604135845
110	 2926.7227478	 0.105997228061	 232.935787201	 0.105142739607
120	 2623.07182693	 0.101298354565	 208.744953156	 0.100641538355
130	 2342.54846191	 0.100276352432	 186.401416779	 0.098033049194
140	 2084.49808121	 0.100493123202	 165.812568665	 0.0957958307944
150	 1846.67582321	 0.0980189474933	 146.91217804	 0.0989786187526
160	 1629.41574478	 0.0995165956578	 129.621994019	 0.101471656521
170	 1431.28660393	 0.0999196225373	 113.84803009	 0.10189141172
180	 1251.35723114	 0.0984322083913	 99.5068969727	 0.100159890098
190	 1088.42868996	 0.0981971027948	 86.5486888885	 0.0998268093583
200	 942.038724899	 0.099042005864	 74.9227619171	 0.0996597500738
210	 810.92699337	 0.099531419351	 64.4836139679	 0.0985222359159
220	 694.376482964	 0.100409080724	 55.2043647766	 0.100002210749
230	 591.497409821	 0.102309597362	 47.0092105865	 0.100632764729
240	 500.981544495	 0.102241898231	 39.8258342743	 0.0988576704798
250	 422.372053146	 0.103365769697	 33.5689678192	 0.100173425268
260	 354.323553562	 0.103406410964	 28.1898436546	 0.102583699982
270	 296.473243237	 0.103310337097	 23.6083364487	 0.101672142305
280	 247.568795681	 0.103775666564	 19.7124700546	 0.100096180643
290	 206.635694504	 0.103181033452	 16.4860725403	 0.102198217653
300	 173.876817703	 0.102316972081	 13.9065093994	 0.0973874093897
310	 146.665756941	 0.104118035783	 11.7143242359	 0.101846339401
320	 125.479179144	 0.103827344013	 10.0764508247	 0.103318200544
330	 110.84928894	 0.10107557211	 8.80894613266	 0.104357675954
340	 97.0199500322	 0.101047593076	 7.79635381699	 0.0978481102385
350	 87.9500358105	 0.102917866321	 7.14207661152	 0.0990727978053
360	 83.095302701	 0.106702783522	 6.63504981995	 0.103937853984
370	 77.4867146015	 0.103898253814	 6.28654408455	 0.101574087354
380	 75.5867522955	 0.104777667546	 6.14429950714	 0.102745966673
390	 74.6150670052	 0.100824777231	 6.01923620701	 0.0994483505637
400	 73.1809874773	 0.100939390538	 5.90571045876	 0.100473646037
410	 72.5874612331	 0.1034829746	 5.86945843697	 0.100176046927
420	 72.2580420971	 0.106295936003	 5.88035285473	 0.107091662317
430	 72.0162512064	 0.106623224478	 5.83616876602	 0.106061732324
440	 71.8789460659	 0.107799413798	 5.82330071926	 0.109786797738
450	 71.7222999334	 0.106516796825	 5.81372594833	 0.105887687269
460	 71.7237764597	 0.105124832503	 5.80636441708	 0.1022748695
470	 71.6208295822	 0.113322324014	 5.80509853363	 0.106487827691
480	 71.3593103886	 0.110238719185	 5.78740763664	 0.104993155488
490	 71.4641284943	 0.108288937594	 5.85080778599	 0.106748698124
500	 71.3300852776	 0.111160371782	 5.78935098648	 0.109293046195
510	 71.0620568991	 0.114280843292	 5.78162992001	 0.118530397319
520	 72.4032622576	 0.118983589479	 5.77289509773	 0.116134941868
